2026-03-09 15:14:04 | INFO     | optimization         | Pareto solutions saved → C:\Users\HP\ACMGS\data\simulated\pareto_solutions.csv (100 solutions)
2026-03-09 15:14:04 | INFO     | optimization         | Top Pareto solutions (first 5):
2026-03-09 15:14:04 | INFO     | optimization         | 
   temperature  pressure        speed  feed_rate   humidity     yield   quality  energy_consumption  carbon_intensity
0   180.589513  1.710947  1797.436127   0.158727  49.343346  0.839119  0.371468          501.799072      7.248646e-16
1   180.394160  1.684272  1469.208986   0.156876  49.343346  0.839119  0.371468          501.799072      7.248646e-16
2   180.725144  1.686236  1798.646365   0.158263  41.449505  0.839119  0.371468          501.799072      7.248646e-16
3   258.684256  1.686236  2323.409238   0.158263  45.948238  0.839119  0.371468          501.799072      7.248646e-16
4   258.773272  1.686068  1797.437835   0.158263  46.057940  0.839119  0.371468          501.799072      7.248646e-16
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | STARTING CARBON-AWARE SCHEDULER PIPELINE (PHASE 6)
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | 
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | This pipeline tests the scheduler with 3 representative scenarios:
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler |   1. Clean grid (LOW carbon) - maximize performance
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler |   2. Moderate grid (MEDIUM carbon) - balance objectives
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler |   3. Dirty grid (HIGH carbon) - minimize energy/carbon
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | 
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | TEST CASE 1/3: Clean Grid (LOW carbon)
